filename,label
text1.jpg,guzhang1
text2.jpg,guzhang1
text3.jpg,guzhang1
text4.jpg,guzhang1
text5.jpg,guzhang1
text6.jpg,guzhang1
text7.jpg,guzhang1
text8.jpg,guzhang1
text9.jpg,guzhang1
text10.jpg,guzhang1
text11.jpg,guzhang1
text12.jpg,guzhang1
text13.jpg,guzhang1
text14.jpg,guzhang1
text15.jpg,guzhang1
text16.jpg,guzhang1
text17.jpg,guzhang1
text18.jpg,guzhang1
text19.jpg,guzhang1
text20.jpg,guzhang1
text21.jpg,guzhang1
text22.jpg,guzhang1
text23.jpg,guzhang1
text24.jpg,guzhang1
text25.jpg,guzhang1
text26.jpg,guzhang1
text27.jpg,guzhang1
text28.jpg,guzhang1
text29.jpg,guzhang1
text30.jpg,guzhang1
text31.jpg,guzhang1
text32.jpg,guzhang1
text33.jpg,guzhang1
text34.jpg,guzhang1
text35.jpg,guzhang1
text36.jpg,guzhang1
text37.jpg,guzhang1
text38.jpg,guzhang1
save1.jpg,guzhang2
save2.jpg,guzhang2
save3.jpg,guzhang2
save4.jpg,guzhang2
save5.jpg,guzhang2
save6.jpg,guzhang2
save7.jpg,guzhang2
save8.jpg,guzhang2
save9.jpg,guzhang2
save10.jpg,guzhang2
save11.jpg,guzhang2
save12.jpg,guzhang2
save13.jpg,guzhang2
save14.jpg,guzhang2
save15.jpg,guzhang2
save16.jpg,guzhang2
save17.jpg,guzhang2
save18.jpg,guzhang2
save19.jpg,guzhang2
save20.jpg,guzhang2
save21.jpg,guzhang2
save22.jpg,guzhang2
save23.jpg,guzhang2
save24.jpg,guzhang2
save25.jpg,guzhang2
save26.jpg,guzhang2
save27.jpg,guzhang2
save28.jpg,guzhang2
save29.jpg,guzhang2
save30.jpg,guzhang2
save31.jpg,guzhang2
save32.jpg,guzhang2
save33.jpg,guzhang2
save34.jpg,guzhang2
save35.jpg,guzhang2
save36.jpg,guzhang2
save37.jpg,guzhang2
save38.jpg,guzhang2
thre1.jpg,guzhang3
thre2.jpg,guzhang3
thre3.jpg,guzhang3
thre4.jpg,guzhang3
thre5.jpg,guzhang3
thre6.jpg,guzhang3
thre7.jpg,guzhang3
thre8.jpg,guzhang3
thre9.jpg,guzhang3
thre10.jpg,guzhang3
thre11.jpg,guzhang3
thre12.jpg,guzhang3
thre13.jpg,guzhang3
thre14.jpg,guzhang3
thre15.jpg,guzhang3
thre16.jpg,guzhang3
thre17.jpg,guzhang3
thre18.jpg,guzhang3
thre19.jpg,guzhang3
thre20.jpg,guzhang3
thre21.jpg,guzhang3
thre22.jpg,guzhang3
thre23.jpg,guzhang3
thre24.jpg,guzhang3
thre25.jpg,guzhang3
thre26.jpg,guzhang3
thre27.jpg,guzhang3
thre28.jpg,guzhang3
thre29.jpg,guzhang3
thre30.jpg,guzhang3
thre31.jpg,guzhang3
thre32.jpg,guzhang3
thre33.jpg,guzhang3
thre34.jpg,guzhang3
thre35.jpg,guzhang3
thre36.jpg,guzhang3
thre37.jpg,guzhang3
thre38.jpg,guzhang3
